Age,Income,Employment_Years,Married,Dependents,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,Debt_to_Income,Payment_History,Purpose_Business,Purpose_Debt_Consolidation,Purpose_Education,Purpose_Home,Purpose_Personal,Loan_Approval
44,31588.751533482387,13.686266233208414,0,0,151268.5662882453,20,739.1747092097112,2,0.1366959697314306,1,False,True,False,False,False,1
21,56699.9036786432,12.586553992354,0,0,112910.46866607906,5,801.074993290306,0,0.475074682051734,1,False,False,False,False,True,1
27,54774.472508716004,7.229799849865139,0,4,206868.35821160983,15,550.540499822695,1,0.2618534827083039,1,False,False,False,False,True,1
39,43569.70729472274,4.045230597307929,1,4,121713.31628915454,15,777.4890631151768,1,0.2733847485355076,1,False,False,False,False,True,1
48,101134.54581767836,9.394890509578245,1,4,225966.79305280294,30,650.048497623716,1,0.38376094336112043,0,False,False,False,False,True,1
48,56074.08273518426,5.841396589552904,0,0,183066.07585458568,30,609.9653032888235,2,0.4959651068878408,1,False,False,True,False,False,0
69,45635.249232798946,6.933690279935096,0,4,65465.05622386173,3,850.0,1,0.30096257126354686,1,False,True,False,False,False,1
57,55829.05221488098,15.09433794901106,1,0,184859.6452082974,20,602.1362511390329,3,0.1895039542678585,1,False,True,False,False,False,1
51,84793.7586361639,3.006746548260965,0,1,125913.58596523826,30,494.0196027379121,2,0.23506042898767632,1,False,False,False,True,False,1
49,71155.045907237,0.0,1,0,176456.2668944154,5,740.6343119179219,2,0.3230259457586872,1,False,False,False,True,False,1
21,23597.197588025796,7.445802314036357,1,4,107789.67515265815,30,638.9854060370162,1,0.26902905688642365,1,False,True,False,False,False,1
37,41973.74926192527,7.344899490298585,0,4,148393.62787857474,20,765.1033858282,2,0.11125610692138338,1,True,False,False,False,False,1
40,50807.441844555324,10.956737909543202,0,1,109300.43257694502,30,698.3466410402345,1,0.3526213726616295,1,False,False,False,False,True,1
68,17499.50580474471,5.37840943015296,0,3,138752.84828277968,15,772.4800677550826,0,0.28815913094955053,1,False,False,False,False,True,1
34,46538.46348443645,11.764241656001357,0,1,173040.2959423404,3,614.3818640486611,1,0.3485076357381828,0,True,False,False,False,False,0
23,22599.63607126432,1.3976593448986412,0,4,86915.89743297058,15,725.7162944170161,1,0.31852761935487456,1,False,False,True,False,False,1
32,78595.39246251146,16.26374851757113,1,0,224683.76326181178,30,539.7231021924724,2,0.30354669836991677,1,False,False,True,False,False,0
37,32078.350701676376,6.906959337579394,1,2,193233.4869452254,20,817.655163332807,1,0.3361642714362653,0,True,False,False,False,False,1
20,17359.10124594033,1.4012959098300293,0,1,39421.284801138885,30,775.7986759547896,1,0.3211453922999198,1,True,False,False,False,False,1
43,72117.26949046021,11.706970457509941,0,0,180916.55201740854,15,779.1796493666629,1,0.25502006490688683,1,False,False,True,False,False,1
67,95472.9517978171,7.921289257336835,0,3,146766.25911646857,10,819.585915694252,0,0.5004350550538952,0,True,False,False,False,False,1
45,58952.998625873275,7.745999407834428,0,2,90428.86146487239,3,719.5195314110754,2,0.1597612040675019,1,False,True,False,False,False,1
56,98154.65793404155,12.038867156458917,0,4,261945.74605980265,30,651.4546378614307,0,0.42219580701938236,1,False,False,False,True,False,1
40,28385.37213505237,9.004198693470524,1,3,1000.0,10,824.1169095978717,2,0.0,0,False,False,True,False,False,1
58,45480.79733123848,11.328800270039011,0,4,217649.87836575697,15,826.3417539962801,2,0.32915847578949586,1,False,False,False,False,True,1
60,75753.71941069653,5.186015346239842,1,3,101161.77795811684,30,785.4831947488694,1,0.1929344588121359,1,False,True,False,False,False,1
18,81933.76266849243,10.13327905296238,1,2,133685.29621248384,20,573.6059230174869,1,0.33014345968292597,1,False,False,False,False,True,1
28,40176.711251503,13.723324921243698,1,4,172094.44657075292,10,496.9203730533942,1,0.18221959341302563,1,False,False,True,False,False,1
